name,crn,department,number,section,term,credits,start time,end time,days,start date,end date,building,room number,instructor
MASTER'S THESIS,10674,MAE,699,4,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Farbod Fahimi
MASTER'S THESIS,10675,MAE,699,5,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Farbod Fahimi
MASTER'S THESIS,10676,MAE,699,6,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Farbod Fahimi
MASTER'S THESIS,10677,MAE,699,7,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Robert Frederick
MASTER'S THESIS,10678,MAE,699,8,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Robert Frederick
MASTER'S THESIS,10679,MAE,699,9,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Robert Frederick
MASTER'S THESIS,10680,MAE,699,10,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Kader Frendi
MASTER'S THESIS,10681,MAE,699,11,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Kader Frendi
MASTER'S THESIS,10682,MAE,699,12,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Kader Frendi
MASTER'S THESIS,10683,MAE,699,13,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Kavan Hazeli
MASTER'S THESIS,10684,MAE,699,14,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Kavan Hazeli
MASTER'S THESIS,10685,MAE,699,15,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Kavan Hazeli
MASTER'S THESIS,10686,MAE,699,16,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Donald Keith Hollingsworth
MASTER'S THESIS,10687,MAE,699,17,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Donald Keith Hollingsworth
MASTER'S THESIS,10688,MAE,699,18,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Donald Keith Hollingsworth
MASTER'S THESIS,10689,MAE,699,19,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Chang-Kwon Kang
MASTER'S THESIS,10690,MAE,699,20,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Chang-Kwon Kang
MASTER'S THESIS,10691,MAE,699,21,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Chang-Kwon Kang
MASTER'S THESIS,10692,MAE,699,22,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Konstantinos Kanistras
MASTER'S THESIS,10693,MAE,699,23,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Konstantinos Kanistras
ELE CIRCUITS & ELTRNC DSGN LAB,10694,EE,316,3,Spring 2020,1,6:00 PM,9:00 PM,W,Jan 06 2020,Apr 29 2020,Engineering Building,225,Jennifer M English
MASTER'S THESIS,10695,MAE,699,24,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Konstantinos Kanistras
ELE CIRCUITS & ELTRNC DSGN LAB,10696,EE,316,4,Spring 2020,1,1:00 PM,4:00 PM,R,Jan 06 2020,Apr 29 2020,Engineering Building,225,Jennifer M English
MASTER'S THESIS,10697,MAE,699,25,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,David Brian Landrum
ELE CIRCUITS & ELTRNC DSGN LAB,10698,EE,316,5,Spring 2020,1,8:00 AM,11:00 AM,W,Jan 06 2020,Apr 29 2020,Engineering Building,225,Jennifer M English
MASTER'S THESIS,10699,MAE,699,26,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,David Brian Landrum
ELE CIRCUITS & ELTRNC DSGN LAB,10700,EE,316,6,Spring 2020,1,1:00 PM,4:00 PM,T,Jan 06 2020,Apr 29 2020,Engineering Building,225,Jennifer M English
MASTER'S THESIS,10701,MAE,699,27,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,David Brian Landrum
ELE CIRCUITS & ELTRNC DSGN LAB,10702,EE,316,7,Spring 2020,1,1:00 PM,4:00 PM,F,Jan 06 2020,Apr 29 2020,Engineering Building,225,Jennifer M English
ANALY METH CONTINUOUS TIME SYS,10703,EE,382,1,Spring 2020,3,4:20 PM,5:40 PM,TR,Jan 06 2020,Apr 29 2020,Technology Hall,S105,Timothy B Boykin
MASTER'S THESIS,10704,MAE,699,28,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Phillip M Ligrani
ANALY METH MULTIVARIABLE,10705,EE,383,1,Spring 2020,3,4:20 PM,5:40 PM,MW,Jan 06 2020,Apr 29 2020,Materials Science Building,113,Aubrey N Beal
MASTER'S THESIS,10706,MAE,699,29,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Phillip M Ligrani
